,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
8,2024-03-22,20:00,Friendlies (M),Friendlies (M),Fri,Home,L,0,1,xk Kosovo,,,,,Varazdat Haroyan,4-1-4-1,Irakli Kvirikashvili,Match Report,,,,0.0,,,,,,armenia
9,2024-03-26,20:00,Friendlies (M),Friendlies (M),Tue,Away,L,1,2,cz Czechia,,,,16158.0,Varazdat Haroyan,4-1-4-1,Julian Weinberger,Match Report,,,,2.0,,,,,,armenia
10,2024-06-04,18:00,Friendlies (M),Friendlies (M),Tue,Away,L,1,2,si Slovenia,,,,8389.0,Varazdat Haroyan,3-4-3,Andreas Argyrou,Match Report,,,,2.0,,,,,,armenia
11,2024-06-07,20:00,Friendlies (M),Friendlies (M),Fri,Home,W,2,1,kz Kazakhstan,,,,,Varazdat Haroyan,3-4-3,Goga Kikacheishvili,Match Report,,,,0.0,,,,,,armenia
0,2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,1,wls Wales,,,28.0,32806.0,Antonijs Černomordijs,4-4-2,Giorgi Kruashvili,Match Report,,8.0,3.0,3.0,15.0,10.0,9.0,10.0,11.0,latvia
1,2023-06-16,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,2,3,tr Türkiye,,,31.0,6287.0,Kristers Tobers,4-2-3-1,Tamás Bognár,Match Report,,15.0,8.0,4.0,13.0,7.0,13.0,4.0,10.0,latvia
2,2023-06-19,20:00,UEFA Euro Qualifying,Group stage,Mon,Away,L,1,2,am Armenia,,,33.0,13450.0,Kristers Tobers,4-4-2,Peter Kráľovič,Match Report,,1.0,1.0,4.0,14.0,6.0,10.0,9.0,9.0,latvia
3,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0,5,hr Croatia,,,25.0,8152.0,Kristers Tobers,4-1-4-1,Philip Farrugia,Match Report,,5.0,3.0,1.0,6.0,10.0,15.0,11.0,7.0,latvia
4,2023-09-11,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,2,wls Wales,,,42.0,6464.0,Kristers Tobers,4-4-2,Michal Očenáš,Match Report,,8.0,2.0,6.0,15.0,8.0,14.0,5.0,4.0,latvia
5,2023-10-12,19:00,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,am Armenia,,,35.0,5128.0,Jānis Ikaunieks,4-2-3-1,Rade Obrenović,Match Report,,15.0,8.0,3.0,9.0,7.0,22.0,7.0,16.0,latvia
6,2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,4,tr Türkiye,,,33.0,35925.0,Kristers Tobers,4-2-3-1,Enea Jorgji,Match Report,,9.0,2.0,4.0,12.0,9.0,17.0,9.0,4.0,latvia
7,2023-11-18,19:00,UEFA Euro Qualifying,Group stage,Sat,Home,L,0,2,hr Croatia,,,31.0,6747.0,Kristers Tobers,4-2-3-1,Urs Schnyder,Match Report,,1.0,0.0,2.0,10.0,8.0,16.0,13.0,10.0,latvia
8,2024-03-21,19:00,Friendlies (M),Friendlies (M),Thu,Away,D,1,1,cy Cyprus,,,,600.0,Jānis Ikaunieks,3-5-2,Lukas Fähndrich,Match Report,,,,0.0,,,,,,latvia
9,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Neutral,D,1,1,li Liechtenstein,,,,,Pāvels Šteinbors,3-4-3,Manfredas Lukjančukas,Match Report,,,,3.0,,,,,,latvia
0,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,1.0,pl Poland,,,45.0,56227.0,Elseid Hysaj,4-1-4-1,Slavko Vinčič,Match Report,,7.0,3.0,2.0,11.0,21.0,16.0,7.0,8.0,albania
1,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,0.0,md Moldova,,,72.0,20944.0,Elseid Hysaj,4-1-4-1,Dennis Higler,Match Report,,12.0,5.0,1.0,9.0,11.0,16.0,10.0,9.0,albania
2,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,fo Faroe Islands,,,49.0,2507.0,Elseid Hysaj,4-2-3-1,Chrysovalantis Theouli,Match Report,,19.0,6.0,0.0,8.0,11.0,13.0,5.0,7.0,albania
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,1.0,1.0,cz Czechia,,,43.0,18641.0,Berat Djimsiti,4-2-3-1,Anthony Taylor,Match Report,,1.0,1.0,3.0,9.0,14.0,4.0,13.0,8.0,albania
4,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,pl Poland,,,39.0,21900.0,Berat Djimsiti,4-1-3-2,José Sánchez,Match Report,,7.0,3.0,7.0,13.0,16.0,6.0,12.0,8.0,albania
5,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,0.0,cz Czechia,,,36.0,20917.0,Berat Djimsiti,4-2-3-1,Danny Makkelie,Match Report,,8.0,4.0,1.0,10.0,9.0,3.0,16.0,10.0,albania
6,2023-11-17,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,D,1.0,1.0,md Moldova,,,53.0,9537.0,Berat Djimsiti,4-3-3,William Collum,Match Report,,10.0,4.0,2.0,18.0,21.0,4.0,5.0,11.0,albania
7,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0.0,0.0,fo Faroe Islands,,,64.0,21456.0,Berat Djimsiti,4-3-3,Sven Jablonski,Match Report,,8.0,4.0,1.0,6.0,14.0,11.0,2.0,11.0,albania
8,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Neutral,L,0.0,3.0,cl Chile,,,,,Berat Djimsiti,4-2-3-1,Luca Pairetto,Match Report,,,,2.0,,,,,,albania
9,2024-03-25,19:00,Friendlies (M),Friendlies (M),Mon,Away,L,0.0,1.0,se Sweden,,,,17892.0,Berat Djimsiti,4-2-3-1,Marcel Bîrsan,Match Report,,,,2.0,,,,,,albania
10,2024-06-03,20:00,Friendlies (M),Friendlies (M),Mon,Neutral,W,3.0,0.0,li Liechtenstein,,,,200.0,Etrit Berisha,4-1-4-1,Bence Csonka,Match Report,,,,0.0,,,,,,albania
11,2024-06-07,19:00,Friendlies (M),Friendlies (M),Fri,Neutral,W,3.0,1.0,az Azerbaijan,,,,,Berat Djimsiti,4-2-3-1,Mihály Káprály,Match Report,,,,0.0,,,,,,albania
12,2024-06-15,21:00,UEFA Euro,Group stage,Sat,Away,L,1.0,2.0,it Italy,0.5,1.5,32.0,60512.0,Berat Djimsiti,4-2-3-1,Felix Zwayer,Match Report,,8.0,1.0,2.0,7.0,7.0,9.0,13.0,5.0,albania
13,2024-06-19,15:00,UEFA Euro,Group stage,Wed,Away,D,2.0,2.0,hr Croatia,1.4,2.6,33.0,46784.0,Berat Djimsiti,4-2-3-1,François Letexier,Match Report,,15.0,7.0,3.0,11.0,14.0,12.0,9.0,7.0,albania
14,2024-06-24,21:00,UEFA Euro,Group stage,Mon,Home,,,,es Spain,,,,,,,,Head-to-Head,,,,,,,,,,albania
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,3.0,1.0,pl Poland,,,36.0,19045.0,Tomáš Souček,3-4-3,Anastasios Sidiropoulos,Match Report,,8.0,6.0,2.0,15.0,14.0,16.0,6.0,9.0,czechia
1,2023-03-27,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,0.0,0.0,md Moldova,,,68.0,5120.0,Tomáš Souček,3-4-3,Daniel Schlager,Match Report,,16.0,3.0,2.0,13.0,9.0,33.0,7.0,12.0,czechia
2,2023-06-17,19:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,3.0,0.0,fo Faroe Islands,,,60.0,2232.0,Tomáš Souček,4-2-3-1,Arda Kardeşler,Match Report,,19.0,5.0,0.0,10.0,10.0,30.0,6.0,9.0,czechia
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,D,1.0,1.0,al Albania,,,57.0,18641.0,Tomáš Souček,3-4-3,Anthony Taylor,Match Report,,12.0,4.0,2.0,14.0,8.0,24.0,2.0,12.0,czechia
4,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0.0,3.0,al Albania,,,64.0,20917.0,Tomáš Souček,3-4-3,Danny Makkelie,Match Report,,13.0,7.0,4.0,10.0,9.0,40.0,5.0,10.0,czechia
5,2023-10-15,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,1.0,0.0,fo Faroe Islands,,,71.0,9115.0,Tomáš Souček,4-2-3-1,Rohit Saggi,Match Report,,29.0,7.0,3.0,10.0,13.0,34.0,6.0,6.0,czechia
6,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,1.0,1.0,pl Poland,,,39.0,56310.0,Tomáš Souček,3-4-1-2,Daniele Orsato,Match Report,,15.0,3.0,1.0,10.0,12.0,15.0,13.0,6.0,czechia
7,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,md Moldova,,,55.0,11653.0,Tomáš Souček,3-4-1-2,Sandro Schärer,Match Report,,22.0,7.0,1.0,16.0,16.0,14.0,6.0,14.0,czechia
8,2024-03-22,18:00,Friendlies (M),Friendlies (M),Fri,Away,W,2.0,1.0,no Norway,,,,11891.0,Tomáš Souček,4-2-3-1,Willy Delajod,Match Report,,,,0.0,,,,,,czechia
9,2024-03-26,20:00,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,1.0,am Armenia,,,,16158.0,Tomáš Souček,3-4-1-2,Julian Weinberger,Match Report,,,,2.0,,,,,,czechia
10,2024-06-07,17:30,Friendlies (M),Friendlies (M),Fri,Neutral,W,7.0,1.0,mt Malta,,,,,Antonín Barák,3-3-2-2,Stefan Ebner,Match Report,,,,3.0,,,,,,czechia
11,2024-06-10,18:00,Friendlies (M),Friendlies (M),Mon,Home,W,2.0,1.0,mk N. Macedonia,,,,8864.0,Tomáš Souček,5-3-2,Michal Očenáš,Match Report,,,,1.0,,,,,,czechia
12,2024-06-18,21:00,UEFA Euro,Group stage,Tue,Away,L,1.0,2.0,pt Portugal,0.4,1.9,27.0,38421.0,Tomáš Souček,3-1-4-2,Marco Guida,Match Report,,5.0,1.0,1.0,9.0,5.0,8.0,11.0,10.0,czechia
13,2024-06-22,15:00,UEFA Euro,Group stage,Sat,Away,,,,ge Georgia,,,,,,,,Head-to-Head,,,,,,,,,,czechia
14,2024-06-26,21:00,UEFA Euro,Group stage,Wed,Home,,,,tr Türkiye,,,,,,,,Head-to-Head,,,,,,,,,,czechia
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,3,cz Czechia,,,64.0,19045.0,Robert Lewandowski,4-2-3-1,Anastasios Sidiropoulos,Match Report,,11.0,4.0,0.0,14.0,13.0,16.0,14.0,5.0,poland
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,al Albania,,,55.0,56227.0,Robert Lewandowski,4-4-2,Slavko Vinčič,Match Report,,11.0,5.0,3.0,21.0,11.0,14.0,9.0,10.0,poland
2,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,2,3,md Moldova,,,73.0,9442.0,Robert Lewandowski,5-3-2,Filip Glova,Match Report,,20.0,5.0,0.0,10.0,23.0,24.0,6.0,4.0,poland
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,fo Faroe Islands,,,72.0,54129.0,Robert Lewandowski,4-4-2,David Smajc,Match Report,,19.0,7.0,2.0,8.0,7.0,34.0,5.0,7.0,poland
4,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,al Albania,,,61.0,21900.0,Robert Lewandowski,4-4-1-1,José Sánchez,Match Report,,12.0,2.0,6.0,16.0,12.0,21.0,4.0,10.0,poland
5,2023-10-12,19:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,0,fo Faroe Islands,,,66.0,3220.0,Piotr Zieliński,3-4-3,Allard Lindhout,Match Report,,13.0,4.0,4.0,10.0,13.0,16.0,3.0,10.0,poland
6,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,1,1,md Moldova,,,72.0,51672.0,Piotr Zieliński,3-5-2,Artur Soares Dias,Match Report,,21.0,7.0,1.0,10.0,14.0,43.0,3.0,9.0,poland
7,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1,1,cz Czechia,,,61.0,56310.0,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,,18.0,5.0,1.0,12.0,10.0,23.0,9.0,7.0,poland
8,2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,5,1,ee Estonia,,,85.0,,Robert Lewandowski,3-5-2,Slavko Vinčič,Match Report,,25.0,10.0,1.0,6.0,8.0,47.0,8.0,3.0,poland
9,2024-03-26,19:45,UEFA Euro Qualifying,Finals,Tue,Away,D,0 (5),0 (4),wls Wales,,,58.0,,Robert Lewandowski,3-5-2,Daniele Orsato,Match Report,Poland won on penalty kicks following extra time,11.0,0.0,2.0,13.0,16.0,26.0,6.0,14.0,poland
10,2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,3,1,ua Ukraine,,,,47013.0,Piotr Zieliński,3-4-3,Andy Madley,Match Report,,,,0.0,,,,,,poland
11,2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Home,W,2,1,tr Türkiye,,,,48677.0,Robert Lewandowski,3-5-2,Balázs Berke,Match Report,,,,2.0,,,,,,poland
12,2024-06-16,15:00,UEFA Euro,Group stage,Sun,Home,L,1,2,nl Netherlands,1.3,1.4,34.0,48117.0,Piotr Zieliński,3-5-2,Artur Soares Dias,Match Report,,12.0,7.0,0.0,10.0,8.0,17.0,7.0,9.0,poland
13,2024-06-21,18:00,UEFA Euro,Group stage,Fri,Home,,,,at Austria,,,,,,,,Head-to-Head,,,,,,,,,,poland
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Away,,,,fr France,,,,,,,,Head-to-Head,,,,,,,,,,poland
0,2023-03-24,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1.0,1.0,fo Faroe Islands,,,60.0,4732.0,Vadim Rață,3-4-3,Nick Walsh,Match Report,,11.0,3.0,1.0,13.0,19.0,30.0,9.0,11.0,moldova
1,2023-03-27,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0.0,0.0,cz Czechia,,,32.0,5120.0,Vadim Rață,3-5-2,Daniel Schlager,Match Report,,6.0,2.0,1.0,12.0,12.0,9.0,15.0,10.0,moldova
2,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,0.0,2.0,al Albania,,,28.0,20944.0,Vadim Rață,5-3-2,Dennis Higler,Match Report,,8.0,1.0,2.0,11.0,8.0,11.0,9.0,10.0,moldova
3,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,2.0,pl Poland,,,28.0,9442.0,Veaceslav Posmac,3-4-3,Filip Glova,Match Report,,9.0,4.0,4.0,25.0,9.0,9.0,5.0,9.0,moldova
4,2023-09-10,17:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,1.0,0.0,fo Faroe Islands,,,27.0,2710.0,Vadim Rață,5-4-1,Vassilis Fotias,Match Report,,12.0,3.0,2.0,13.0,10.0,17.0,7.0,9.0,moldova
5,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,D,1.0,1.0,pl Poland,,,28.0,51672.0,Vadim Rață,5-4-1,Artur Soares Dias,Match Report,,4.0,1.0,6.0,14.0,9.0,20.0,18.0,11.0,moldova
6,2023-11-17,19:00,UEFA Euro Qualifying,Group stage,Fri,Home,D,1.0,1.0,al Albania,,,47.0,9537.0,Vadim Rață,3-4-3,William Collum,Match Report,,13.0,6.0,2.0,22.0,16.0,23.0,5.0,8.0,moldova
7,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,3.0,cz Czechia,,,45.0,11653.0,Vadim Rață,5-4-1,Sandro Schärer,Match Report,,10.0,3.0,6.0,16.0,14.0,18.0,5.0,9.0,moldova
8,2024-03-22,15:30,Friendlies (M),Friendlies (M),Fri,Neutral,D,1.0,1.0,mk N. Macedonia,,,,,Vadim Rață,3-4-3,Damian Kos,Match Report,,,,1.0,,,,,,moldova
9,2024-03-26,17:00,Friendlies (M),Friendlies (M),Tue,Neutral,W,4.0,0.0,ky Cayman Islands,,,,,Vadim Rață,4-2-3-1,Kadir Sağlam,Match Report,,,,0.0,,,,,,moldova
10,2024-06-08,19:00,Friendlies (M),Friendlies (M),Sat,Home,W,3.0,2.0,cy Cyprus,,,,4000.0,Vadim Rață,4-1-4-1,Denys Shurman,Match Report,,,,3.0,,,,,,moldova
11,2024-06-11,19:00,Friendlies (M),Friendlies (M),Tue,Home,L,0.0,4.0,ua Ukraine,,,,8247.0,Vadim Rață,3-4-3,Andrei Chivulete,Match Report,,,,0.0,,,,,,moldova
12,2024-09-10,19:00,Friendlies (M),Friendlies (M),Tue,Home,,,,sm San Marino,,,,,,,,Head-to-Head,,,,,,,,,,moldova
0,,,Friendlies (M),Friendlies (M),,Neutral,W,4,0,li Liechtenstein,,,,50.0,Viljormur Davidsen,4-3-1-2,Jason Barcelo,Match Report,,,,1.0,,,,,,faroe islands
1,,,Friendlies (M),Friendlies (M),,Neutral,W,4,0,li Liechtenstein,,,,50.0,Viljormur Davidsen,4-3-1-2,Jason Barcelo,Match Report,,,,19.0,104.0,74.0,121.0,70.0,72.0,faroe islands
2,,,Friendlies (M),Friendlies (M),,Neutral,W,4,0,li Liechtenstein,,,,50.0,Viljormur Davidsen,4-3-1-2,Jason Barcelo,Match Report,,41.0,6.0,1.0,,,,,,faroe islands
3,,,Friendlies (M),Friendlies (M),,Neutral,W,4,0,li Liechtenstein,,,,50.0,Viljormur Davidsen,4-3-1-2,Jason Barcelo,Match Report,,41.0,6.0,19.0,104.0,74.0,121.0,70.0,72.0,faroe islands
4,2023-03-24,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,1,1,md Moldova,,,41.0,4732.0,Viljormur Davidsen,4-4-2,Nick Walsh,Match Report,,4.0,2.0,6.0,19.0,13.0,11.0,9.0,10.0,faroe islands
5,2023-06-17,19:45,UEFA Euro Qualifying,Group stage,Sat,Home,L,0,3,cz Czechia,,,40.0,2232.0,Viljormur Davidsen,5-4-1,Arda Kardeşler,Match Report,,0.0,0.0,1.0,10.0,9.0,7.0,5.0,15.0,faroe islands
6,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,1,3,al Albania,,,51.0,2507.0,Viljormur Davidsen,4-4-2,Chrysovalantis Theouli,Match Report,,9.0,2.0,1.0,12.0,8.0,22.0,8.0,7.0,faroe islands
7,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,2,pl Poland,,,29.0,54129.0,Viljormur Davidsen,5-4-1,David Smajc,Match Report,,2.0,1.0,1.0,8.0,7.0,6.0,12.0,4.0,faroe islands
8,2023-09-10,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,L,0,1,md Moldova,,,73.0,2710.0,Viljormur Davidsen,4-2-3-1,Vassilis Fotias,Match Report,,9.0,0.0,1.0,10.0,13.0,37.0,5.0,6.0,faroe islands
9,2023-10-12,19:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0,2,pl Poland,,,34.0,3220.0,Viljormur Davidsen,4-2-3-1,Allard Lindhout,Match Report,,2.0,0.0,2.0,13.0,9.0,15.0,9.0,9.0,faroe islands
10,2023-10-15,18:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,1,cz Czechia,,,29.0,9115.0,Viljormur Davidsen,5-4-1,Rohit Saggi,Match Report,,5.0,1.0,4.0,15.0,9.0,9.0,15.0,9.0,faroe islands
11,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,0,0,al Albania,,,36.0,21456.0,Viljormur Davidsen,4-1-4-1,Sven Jablonski,Match Report,,10.0,0.0,2.0,17.0,6.0,14.0,7.0,12.0,faroe islands
12,2024-03-26,20:15,Friendlies (M),Friendlies (M),Tue,Away,L,0,2,dk Denmark,,,,17332.0,Viljormur Davidsen,4-1-4-1,Philip Farrugia,Match Report,,,,0.0,,,,,,faroe islands
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,se Sweden,,,56.0,49296.0,Kevin De Bruyne,4-2-2-2,Orel Grinfeeld,Match Report,,14.0,5.0,0.0,9.0,9.0,19.0,10.0,6.0,belgium
1,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,at Austria,,,56.0,39237.0,Romelu Lukaku,3-5-2,Jérôme Brisard,Match Report,,17.0,2.0,1.0,9.0,9.0,27.0,6.0,9.0,belgium
2,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,0.0,ee Estonia,,,67.0,11772.0,Romelu Lukaku,4-3-3,John Beaton,Match Report,,12.0,5.0,2.0,5.0,12.0,14.0,6.0,5.0,belgium
3,2023-09-09,17:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,1.0,0.0,az Azerbaijan,,,54.0,4500.0,Romelu Lukaku,4-3-3,Nenad Minaković,Match Report,,16.0,6.0,2.0,9.0,13.0,17.0,5.0,7.0,belgium
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,5.0,0.0,ee Estonia,,,75.0,24127.0,Romelu Lukaku,4-3-3,Bartosz Frankowski,Match Report,,22.0,11.0,1.0,5.0,5.0,29.0,5.0,4.0,belgium
5,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,at Austria,,,42.0,47000.0,Romelu Lukaku,4-3-3,Jesús Gil,Match Report,,8.0,5.0,5.0,14.0,15.0,6.0,9.0,15.0,belgium
6,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1.0,1.0,se Sweden,,,66.0,,Romelu Lukaku,4-4-2,Maurizio Mariani,Match Report,Match awarded to,9.0,3.0,0.0,5.0,8.0,9.0,8.0,2.0,belgium
7,2023-11-19,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,5.0,0.0,az Azerbaijan,,,75.0,30276.0,Romelu Lukaku,4-2-3-1,Gergő Bogár,Match Report,,22.0,7.0,2.0,13.0,7.0,20.0,3.0,5.0,belgium
8,2024-03-23,17:00,Friendlies (M),Friendlies (M),Sat,Away,D,0.0,0.0,ie Rep. of Ireland,,,,38128.0,Youri Tielemans,4-1-4-1,Rohit Saggi,Match Report,,,,0.0,,,,,,belgium
9,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Away,D,2.0,2.0,eng England,,,,80733.0,Romelu Lukaku,4-1-4-1,Sebastian Gishamer,Match Report,,,,1.0,,,,,,belgium
10,2024-06-05,20:30,Friendlies (M),Friendlies (M),Wed,Home,W,2.0,0.0,me Montenegro,,,,19246.0,Kevin De Bruyne,4-2-3-1,Kristoffer Karlsson,Match Report,,,,0.0,,,,,,belgium
11,2024-06-08,20:00,Friendlies (M),Friendlies (M),Sat,Home,W,3.0,0.0,lu Luxembourg,,,,35287.0,Kevin De Bruyne,4-2-3-1,Paweł Raczkowski,Match Report,,,,0.0,,,,,,belgium
12,2024-06-17,18:00,UEFA Euro,Group stage,Mon,Home,L,0.0,1.0,sk Slovakia,1.6,0.6,60.0,45181.0,Kevin De Bruyne,4-2-3-1,Halil Umut Meler,Match Report,,16.0,4.0,3.0,14.0,10.0,14.0,2.0,7.0,belgium
13,2024-06-22,21:00,UEFA Euro,Group stage,Sat,Home,,,,ro Romania,,,,,,,,Head-to-Head,,,,,,,,,,belgium
14,2024-06-26,18:00,UEFA Euro,Group stage,Wed,Away,,,,ua Ukraine,,,,,,,,Head-to-Head,,,,,,,,,,belgium
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4.0,1.0,az Azerbaijan,,,51.0,16500.0,Marcel Sabitzer,4-4-2,Bartosz Frankowski,Match Report,,25.0,12.0,1.0,11.0,19.0,24.0,14.0,10.0,austria
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2.0,1.0,ee Estonia,,,66.0,16500.0,Konrad Laimer,4-4-2,Enea Jorgji,Match Report,,19.0,8.0,0.0,11.0,10.0,23.0,6.0,12.0,austria
2,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,be Belgium,,,44.0,39237.0,David Alaba,4-4-2,Jérôme Brisard,Match Report,,10.0,2.0,4.0,9.0,9.0,13.0,10.0,12.0,austria
3,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,se Sweden,,,63.0,46300.0,David Alaba,4-4-2,Marco Guida,Match Report,,21.0,14.0,1.0,6.0,10.0,22.0,6.0,6.0,austria
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,se Sweden,,,53.0,43228.0,David Alaba,4-4-2,Serdar Gözübüyük,Match Report,,12.0,6.0,1.0,10.0,9.0,13.0,8.0,13.0,austria
5,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,2.0,3.0,be Belgium,,,58.0,47000.0,Konrad Laimer,4-4-1-1,Jesús Gil,Match Report,,16.0,5.0,4.0,15.0,13.0,21.0,4.0,14.0,austria
6,2023-10-16,20:00,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,az Azerbaijan,,,46.0,4446.0,Konrad Laimer,4-1-4-1,Aristotelis Diamantopoulos,Match Report,,13.0,3.0,4.0,13.0,10.0,14.0,8.0,7.0,austria
7,2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,0.0,ee Estonia,,,69.0,4488.0,David Alaba,4-3-3,Nikola Dabanović,Match Report,,16.0,4.0,0.0,5.0,6.0,16.0,3.0,10.0,austria
8,2024-03-23,18:00,Friendlies (M),Friendlies (M),Sat,Away,W,2.0,0.0,sk Slovakia,,,,9912.0,Marcel Sabitzer,4-2-3-1,Trustin Farrugia Cann,Match Report,,,,1.0,,,,,,austria
9,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,6.0,1.0,tr Türkiye,,,,38500.0,Konrad Laimer,4-2-3-1,Daniele Chiffi,Match Report,,,,2.0,,,,,,austria
10,2024-06-04,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,1.0,rs Serbia,,,,37800.0,Marko Arnautović,4-2-3-1,António Nobre,Match Report,,,,3.0,,,,,,austria
11,2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Away,D,1.0,1.0,ch Switzerland,,,,18731.0,Konrad Laimer,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,,,,2.0,,,,,,austria
12,2024-06-17,21:00,UEFA Euro,Group stage,Mon,Home,L,0.0,1.0,fr France,0.8,2.0,52.0,46425.0,Marcel Sabitzer,4-2-3-1,Jesús Gil,Match Report,,6.0,3.0,5.0,18.0,10.0,27.0,3.0,13.0,austria
13,2024-06-21,18:00,UEFA Euro,Group stage,Fri,Away,,,,pl Poland,,,,,,,,Head-to-Head,,,,,,,,,,austria
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Away,,,,nl Netherlands,,,,,,,,Head-to-Head,,,,,,,,,,austria
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0,3,be Belgium,,,44.0,49296.0,Victor Lindelöf,4-4-2,Orel Grinfeeld,Match Report,,9.0,4.0,4.0,10.0,9.0,11.0,8.0,10.0,sweden
