,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
12,2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Away,L,0,1,it Italy,,,,,Ermedin Demirović,5-4-1,Chrysovalantis Theouli,Match Report,,,,1.0,,,,,,bosnia and herzegovina
0,,,Friendlies (M),Friendlies (M),,Neutral,L,0.0,4.0,fo Faroe Islands,,,,50.0,Benjamin Büchel,3-5-2,Jason Barcelo,Match Report,,,,2.0,,,,,,liechtenstein
1,,,Friendlies (M),Friendlies (M),,Neutral,L,0.0,4.0,fo Faroe Islands,,,,50.0,Benjamin Büchel,3-5-2,Jason Barcelo,Match Report,,,,36.0,117.0,104.0,58.0,71.0,86.0,liechtenstein
2,,,Friendlies (M),Friendlies (M),,Neutral,L,0.0,4.0,fo Faroe Islands,,,,50.0,Benjamin Büchel,3-5-2,Jason Barcelo,Match Report,,39.0,14.0,2.0,,,,,,liechtenstein
3,,,Friendlies (M),Friendlies (M),,Neutral,L,0.0,4.0,fo Faroe Islands,,,,50.0,Benjamin Büchel,3-5-2,Jason Barcelo,Match Report,,39.0,14.0,36.0,117.0,104.0,58.0,71.0,86.0,liechtenstein
4,2023-03-23,19:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0.0,4.0,pt Portugal,,,18.0,45378.0,Nicolas Hasler,5-3-2,Espen Andreas Eskås,Match Report,,2.0,1.0,0.0,6.0,5.0,2.0,10.0,7.0,liechtenstein
5,2023-03-26,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,L,0.0,7.0,is Iceland,,,22.0,1692.0,Nicolas Hasler,5-3-2,Jakob Kehlet,Match Report,,2.0,1.0,3.0,11.0,11.0,3.0,9.0,3.0,liechtenstein
6,2023-06-17,15:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,0.0,2.0,lu Luxembourg,,,27.0,6806.0,Nicolas Hasler,3-5-2,Oleksii Derevinskyi,Match Report,,8.0,1.0,2.0,15.0,11.0,4.0,4.0,14.0,liechtenstein
7,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0.0,1.0,sk Slovakia,,,24.0,2316.0,Benjamin Büchel,3-5-2,Igal Frid,Match Report,,6.0,4.0,1.0,16.0,6.0,6.0,8.0,10.0,liechtenstein
8,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1.0,2.0,ba Bosnia & Herz'na,,,24.0,6189.0,Benjamin Büchel,5-3-2,Sayat Karabaev,Match Report,,4.0,3.0,3.0,14.0,15.0,7.0,8.0,8.0,liechtenstein
9,2023-09-11,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,3.0,sk Slovakia,,,20.0,13679.0,Benjamin Büchel,5-3-2,Sander van der Eijk,Match Report,,1.0,0.0,1.0,10.0,12.0,3.0,4.0,8.0,liechtenstein
10,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0.0,2.0,ba Bosnia & Herz'na,,,26.0,5874.0,Benjamin Büchel,4-4-2,Damian Sylwestrzak,Match Report,,2.0,1.0,1.0,8.0,10.0,5.0,7.0,7.0,liechtenstein
11,2023-10-16,18:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,4.0,is Iceland,,,29.0,4317.0,Benjamin Büchel,3-5-2,Abdulkadir Bitigen,Match Report,,3.0,1.0,2.0,7.0,9.0,9.0,12.0,12.0,liechtenstein
12,2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0.0,2.0,pt Portugal,,,16.0,5749.0,Benjamin Büchel,3-5-2,Mohammed Al Hakim,Match Report,,5.0,1.0,1.0,9.0,9.0,2.0,3.0,7.0,liechtenstein
13,2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,0.0,1.0,lu Luxembourg,,,43.0,2241.0,Benjamin Büchel,5-3-2,Stéphanie Frappart,Match Report,,6.0,1.0,3.0,21.0,16.0,17.0,6.0,10.0,liechtenstein
14,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Neutral,D,1.0,1.0,lv Latvia,,,,,Benjamin Büchel,5-3-2,Manfredas Lukjančukas,Match Report,,,,9.0,,,,,,liechtenstein
15,2024-06-03,20:00,Friendlies (M),Friendlies (M),Mon,Neutral,L,0.0,3.0,al Albania,,,,200.0,Sandro Wolfinger,5-3-2,Bence Csonka,Match Report,,,,3.0,,,,,,liechtenstein
16,2024-06-07,21:00,Friendlies (M),Friendlies (M),Fri,Away,D,0.0,0.0,ro Romania,,,,25097.0,Benjamin Büchel,5-3-2,Menelaos Antoniou,Match Report,,,,5.0,,,,,,liechtenstein
17,2024-10-10,,Friendlies (M),Friendlies (M),Thu,Home,,,,hk Hong Kong,,,,,,,,Head-to-Head,,,,,,,,,,liechtenstein
18,2024-11-14,,Friendlies (M),Friendlies (M),Thu,Away,,,,mt Malta,,,,,,,,Head-to-Head,,,,,,,,,,liechtenstein
0,2024-03-23,21:00,Friendlies (M),Friendlies (M),Sat,Away,W,2.0,0.0,fr France,,,,,İlkay Gündoğan,4-2-3-1,Jesús Gil,Match Report,,,,2.0,,,,,,germany
1,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,1.0,nl Netherlands,,,,48390.0,İlkay Gündoğan,4-2-3-1,Espen Eskås,Match Report,,,,2.0,,,,,,germany
2,2024-06-03,20:45,Friendlies (M),Friendlies (M),Mon,Home,D,0.0,0.0,ua Ukraine,,,,42789.0,İlkay Gündoğan,4-2-3-1,Walter Altmann,Match Report,,,,0.0,,,,,,germany
3,2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,2.0,1.0,gr Greece,,,,45488.0,İlkay Gündoğan,4-2-3-1,José Luis Munuera,Match Report,,,,0.0,,,,,,germany
4,2024-06-14,21:00,UEFA Euro,Group stage,Fri,Home,W,5.0,1.0,sct Scotland,2.1,0.0,72.0,65052.0,İlkay Gündoğan,4-2-3-1,Clément Turpin,Match Report,,19.0,9.0,2.0,15.0,9.0,21.0,2.0,9.0,germany
5,2024-06-19,18:00,UEFA Euro,Group stage,Wed,Home,W,2.0,0.0,hu Hungary,1.5,1.0,69.0,54000.0,İlkay Gündoğan,4-2-3-1,Danny Makkelie,Match Report,,19.0,7.0,2.0,12.0,10.0,27.0,6.0,11.0,germany
6,2024-06-23,21:00,UEFA Euro,Group stage,Sun,Away,,,,ch Switzerland,,,,,,,,Head-to-Head,,,,,,,,,,germany
